Tin,Roobbie Macveigh,455,205.8,1989
Hatity,Linn Brookes,145,931.68,1946
Greenlam,Corine Gladdolph,203,276.54,2009
Fintone,Godart Peracco,477,863.02,1931
Bigtax,Malynda Gurdon,468,479.3,1934
Bigtax,Jaquenette Brettoner,491,690.58,1978
Y-find,Mischa Marmyon,254,264.73,1961
Andalax,Monti O'Neal,421,336.76,2016
Ventosanzap,Andy Gjerde,270,719.31,1900
Toughjoyfax,Standford Tyndall,496,866.99,1987
Zontrax,Hedda Warry,75,430.9,1973
Fintone,Marmaduke Palfreeman,150,198.23,1993
Cardify,Ardeen Merrgen,29,641.97,1983
Gembucket,Aguistin Shobrook,206,176.47,1996
Redhold,Jackson Smewin,152,31.89,1942
Asoka,Farica Labet,157,213.09,1952
Domainer,Boy Maunton,442,225.96,2014
Namfix,Dolli Meier,79,309.81,2014
Zaam-Dox,Harry Schohier,14,713.48,1926
Span,Alex Jiroudek,47,982.14,2007
Matsoft,Kaitlyn Lighten,117,214.37,2017
Tempsoft,Denyse Kellett,389,40.4,1981
Biodex,Marga Longmire,365,281.6,1929
Y-find,Jean Stockall,178,601.74,1959
Y-find,Tabina Hulstrom,365,254.32,1941
Ronstring,Maryjo Stennett,293,466.5,1949
Andalax,Kial Spire,309,947.73,1902
Cookley,Brenda Groven,91,581.66,1989
Span,Gert Wetherby,293,791.84,1933
Fintone,Ingmar Insull,91,819.54,1935
Overhold,Fiona Suttell,141,151.8,1959
Duobam,Brade Bromige,50,818.67,1900
Domainer,Rabbi Killner,303,574.76,2015
Prodder,Alexine Iacobucci,23,620.52,2003
Alpha,Sacha Reneke,429,422.1,1915
Andalax,Evie Cowen,13,607.91,1923
Greenlam,Lev Lanon,14,495.98,1923
Ronstring,Udale MacCook,255,343.28,1989
Opela,Fayre Kidds,486,820.94,1989
Toughjoyfax,Raimund Sandaver,367,303.33,1950
Sub-Ex,Adriana Antognelli,212,651.09,1946
Subin,Cam Crevagh,488,575.15,1942
Asoka,Elizabet Coltan,473,384.31,1961
Aerified,Janela Dowsey,210,651.33,2004
Hatity,Quintilla Derby,433,881.93,1995
Stronghold,Padgett Simek,217,391.2,1930
Tres-Zap,Ricardo Rigardeau,226,691.64,2007
Daltfresh,Easter Atack,124,280.99,2000
Subin,Torin Olivi,282,646.88,1909
Ronstring,Angelina Mulvihill,256,631.03,1972
Duobam,Sydel Wolfendale,127,504.76,1953
Zamit,Madelin Coyne,195,143.89,1975
Solarbreeze,Modestine Mosconi,231,323.91,1977
Biodex,Shara Adrain,91,742.39,1978
Zontrax,Dido Freeth,478,513.58,2007
Zontrax,Gunter Longbothom,114,728.07,1974
Bitwolf,Fredrick Hain,212,881.76,2006
Zoolab,Nickolaus Jacobsen,402,75.8,2007
Aerified,Abram Tirone,45,832.2,2010
Bitchip,Sayre Bragginton,331,424.45,1982
Solarbreeze,Persis Bolland,207,815.53,1972
Solarbreeze,Cyndy Beedle,390,980.03,1950
Namfix,Nessi Stonary,170,352.14,1952
Tres-Zap,Catharine Demcik,342,76.85,1983
Bitwolf,Grete Carah,248,427.05,1982
Zontrax,Saudra Branwhite,155,75.2,1925
Y-find,Arlan Risborough,142,233.79,1999
Rank,Artair Tibols,78,656.44,2004
Bigtax,Min Roselli,276,656.4,2014
Duobam,Alwin Di Biasio,246,553.76,1995
Stronghold,Karoly Klimpt,163,507.92,1933
Cookley,Allyson Hulburd,474,774.11,1931
Otcom,Gerry Dobey,36,56.89,1984
Vagram,Millie Dorgan,221,877.52,1910
Stim,Alexandros Wix,257,362.06,1965
