Killer Elite,Cammy Redan,139,185.58,2013,9
Floating Skyscrapers,Hastings Olivera,57,134.79,2013,10
Pi,Giavani Colten,105,86.13,2009,3
In Which We Serve,Pansie Morrison,163,204.81,1983,8
Sharpe's Gold,Seumas Glancy,186,247.13,1991,3
Ecstasy in Entropy,Ichabod Hafner,110,176.07,1977,6
Faust,Jonah Wastall,195,125.41,2013,4
Superman Returns,Carly Garnsey,153,144.83,1997,5
Thin Ice,Vilma Rehme,39,49.74,1984,5
The Well-Digger's Daughter,Salvidor Casazza,72,83.44,1972,8
A Via Láctea,Calvin Sergent,170,115.69,1973,7
Second Best,Orin Birkbeck,76,136.65,1969,1
Canciones de amor en Lolita's Club,Gerek Courage,134,45.42,1987,3
I Will Buy You (Anata kaimasu),Catlin Milksop,58,107.51,1969,2
The Lone Ranger,Danell Raff,193,192.86,1962,7
"Three Brothers, The (Les trois frères)",Pen Scimonelli,137,69.12,1993,6
Experiment in Terror,Caro Durgan,107,178.0,2015,9
Sydney White,Shea Whitington,138,174.96,1980,8
In This Our Life,Cyndi Bellin,76,52.58,1975,1
This Gun for Hire,Christie Placstone,76,44.04,1983,4
Mutiny on the Bounty,Burnard Robison,156,233.85,1982,9
Staying Together,Skyler Phipson,75,115.69,1976,9
"Boat, The",Skelly Lyford,112,58.48,1988,2
Cowards Bend the Knee (a.k.a. The Blue Hands),Modestine Spriddle,28,62.93,2005,7
Ike: Countdown to D-Day,Elsy Scoates,32,159.79,2017,10
Hostile Witness,Luella Neem,152,88.43,1964,8
Tribute,Cleve Shillington,138,114.0,2009,1
"Guardian, The",Cedric Creeboe,98,194.22,1995,4
Sharknado,Mil Wardington,186,248.74,2013,4
The Dot and the Line : A Romance in Lower Mathematics,Louise Cockman,91,56.75,2003,2
Diary of a Shinjuku Thief (Shinjuku dorobo nikki),Harlin Gavriel,120,168.81,2011,3
"Zidane: A 21st Century Portrait (Zidane, un portrait du 21e siècle)",Hugo Levison,116,147.41,1987,7
Storm,Rafe Corrado,41,31.47,1966,10
"Last Metro, The (Dernier métro, Le)",Alfred Wandrich,193,210.05,1995,1
"Have Dreams, Will Travel",Rozina Georgeau,101,164.7,1968,3
"Dunwich Horror, The",Melicent Meeland,159,50.46,1985,4
Knocked Up,Barbette McGaffey,149,139.03,1970,10
Below,Layney Rossander,84,117.32,1987,7
Ulysses' Gaze (To Vlemma tou Odyssea),Ethel Dillway,26,189.65,2007,9
"Sun Also Rises, The (Tai yang zhao chang sheng qi)",Hilde Almond,182,241.7,1968,2
AmeriQua,Jdavie Yare,23,192.69,1999,4
Holidays by the Sea (Ni à vendre ni à louer),Gerome Fretwell,89,180.82,2007,7
Navy Seals,Rozanne Cartwright,200,52.71,1976,10
"Circus, The",Ailene Brimblecomb,56,63.08,1981,4
The Damned,Georgia Farney,103,174.09,1972,2
"Idiot, The (Hakuchi)",Zulema Erskin,150,97.91,2011,8
"Details, The",Marlane Bromfield,181,128.84,1977,10
Out of the Fog,Eada Hallows,87,129.98,1964,4
Little Buddha,Mareah Campana,149,53.42,1961,1
Black Book (Zwartboek),Andrey Lantoph,35,85.74,1974,2
Pornography (Pornografia),Lurlene Conkie,25,219.39,2009,2
Lord of Illusions,Federica Butts,71,226.17,2005,2
Alaska: Silence & Solitude,Saw Berndtsson,25,88.32,1984,3
John Wick,Baird Dishman,43,147.21,2015,4
Joan of Paris,Ruy Wehden,116,87.07,2012,6
Battle Royale (Batoru rowaiaru),Evelin Twittey,62,63.05,1961,2
